status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,12,24,236,44,137,complex64,16,42,0.042694275999565434,30664.0,128.0,1,0.0007632960081100464,0.0004930559992790222,0.0004883840084075928,0.0005308480262756348,-0.0014337184838950634,-0.0012618210166692734,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,12,24,236,44,137,complex128,16,42,0.041543909999745665,30664.0,128.0,1,0.0018047679662704468,0.0016902079582214356,0.0016891839504241943,0.0016944960355758667,-0.0014337170663283917,-0.001261820858142651,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,12,48,472,88,137,complex64,16,42,0.1182249410003351,1740440.0,8192.0,1,0.032576255798339844,0.0010143040418624878,0.0010050239562988282,0.0015504319667816163,-0.029191767796874046,-0.011239497922360897,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,12,48,472,88,137,complex128,16,42,0.11830329900021752,1740440.0,8192.0,1,0.004115263938903809,0.0038290879726409913,0.003825824022293091,0.003832319974899292,-0.02919175478442888,-0.01123948779309356,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,16,24,316,60,137,complex64,16,42,0.05593761000000086,47848.0,128.0,1,0.0008353599905967712,0.000654367983341217,0.0006503679752349853,0.0006666240096092224,0.0018443353474140167,-0.0001437700557289645,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,16,24,316,60,137,complex128,16,42,0.05468871500033856,47848.0,128.0,1,0.002483167886734009,0.0022585279941558837,0.002254496097564697,0.002265376091003418,0.0018443361354031453,-0.00014376986906844885,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,16,48,632,120,137,complex64,16,42,0.22545769800035487,19293016.0,131072.0,1,0.0020297598838806153,0.0013609919548034667,0.0013506239652633666,0.0013829760551452637,-0.005162987392395735,0.00452212430536747,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,16,48,632,120,137,complex128,16,42,0.2254224019998219,19637080.0,131072.0,1,0.008948543548583984,0.005210400104522705,0.0052033281326293946,0.005226047992706298,-0.005162992338256772,0.0045221255219152715,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,20,24,396,76,137,complex64,16,42,0.07020060700051545,63480.0,128.0,1,0.001145087957382202,0.0008510400056838989,0.0008426880240440369,0.0008700479865074158,0.00024692880106158555,-0.0006072775577194989,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,20,24,396,76,137,complex128,16,42,0.0685117180000816,63480.0,128.0,1,0.0029908161163330078,0.0028286080360412596,0.002827199935913086,0.0028497600555419922,0.0002469291439415466,-0.0006072775225721633,NVIDIA GeForce RTX 5070 Ti,12.0
