split,fold,family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,actual_safe_complex64,predicted_safe_probability,selected_precision,relative_scalar_difference,selected_seconds
width_held_out,2,random_brickwork,layers_8,1.0,16.0,42,True,0.4362813571801005,complex128,4.757080736090146e-07,0.0022582080364227297
width_held_out,3,random_brickwork,layers_8,1.0,20.0,42,False,0.7233250857207767,complex128,9.022482436670435e-07,0.002829535961151123
width_held_out,0,qft,full,1.0,8.0,42,True,0.8335652213511596,complex64,1.7881393366003817e-07,0.0001101439967751503
width_held_out,1,qft,full,1.0,12.0,42,True,0.6512209849603005,complex128,2.3841857810236202e-07,0.0008140159845352173
width_held_out,2,qft,full,1.0,16.0,42,True,0.3425324252145566,complex128,4.7683715698188026e-07,0.0018152639865875245
width_held_out,3,qft,full,1.0,20.0,42,False,0.6506769535441205,complex128,5.364418012021597e-07,0.0032275838851928713
width_held_out,0,ghz,chain,1.0,8.0,137,True,0.9971358590669734,complex64,1.7114270947149224e-08,6.71679973602295e-05
width_held_out,1,ghz,chain,1.0,12.0,137,True,0.9470687468346124,complex64,1.7114270947149224e-08,9.139200299978256e-05
width_held_out,2,ghz,chain,1.0,16.0,137,True,0.9741229946190529,complex64,1.7114270947149224e-08,0.00010592000186443329
width_held_out,3,ghz,chain,1.0,20.0,137,True,0.9764371691814715,complex64,1.7114270947149224e-08,0.00012479999661445617
width_held_out,0,hea,layers_4,1.0,8.0,137,False,0.9328648918792973,complex64,8.823523001129403e-07,0.0001865919977426529
width_held_out,0,hea,layers_8,2.0,8.0,137,True,0.5801485927230855,complex128,1.6421825716612714e-07,0.00112009596824646
width_held_out,1,hea,layers_4,1.0,12.0,137,True,0.526337007661888,complex128,2.575715153812633e-07,0.0009213759899139404
width_held_out,1,hea,layers_8,2.0,12.0,137,True,0.39330350323191365,complex128,1.9927706687431299e-07,0.0016902400255203248
width_held_out,2,hea,layers_4,1.0,16.0,137,True,0.6345758495238275,complex128,4.6492174407904526e-07,0.0012305279970169067
width_held_out,2,hea,layers_8,2.0,16.0,137,False,0.5772015760763185,complex128,2.245021552519519e-06,0.0022601919174194338
width_held_out,3,hea,layers_4,1.0,20.0,137,False,0.755766114153182,complex128,5.950704182886217e-07,0.0015386879444122315
width_held_out,3,hea,layers_8,2.0,20.0,137,False,0.523201671987371,complex128,1.0827239347305403e-06,0.002834239959716797
width_held_out,0,qaoa_cycle,p_3,1.0,8.0,137,False,0.505770160402157,complex128,7.173722014020719e-07,0.0004761280119419098
width_held_out,0,qaoa_cycle,p_6,2.0,8.0,137,False,0.1559734732953635,complex128,1.5231552792273152e-06,0.0010206400156021118
width_held_out,1,qaoa_cycle,p_3,1.0,12.0,137,False,0.09036348210854178,complex128,8.408117964061954e-07,0.0007109439969062805
width_held_out,1,qaoa_cycle,p_6,2.0,12.0,137,False,0.09301941945954752,complex128,5.4712603836075145e-06,0.0018416320085525512
width_held_out,2,qaoa_cycle,p_3,1.0,16.0,137,False,0.06934829111041091,complex128,1.9356137762569014e-06,0.0009439359903335572
width_held_out,2,qaoa_cycle,p_6,2.0,16.0,137,False,0.041720327916097526,complex128,8.635493020647486e-07,0.001991104006767273
width_held_out,3,qaoa_cycle,p_3,1.0,20.0,137,False,0.09233584513075216,complex128,1.803382984211388e-06,0.001176416039466858
width_held_out,3,qaoa_cycle,p_6,2.0,20.0,137,False,0.09355625021766194,complex128,4.7501859576787695e-06,0.0028339519500732422
width_held_out,0,random_brickwork,layers_8,1.0,8.0,137,True,0.6096907009422029,complex128,2.557836323096331e-07,0.00111900794506073
width_held_out,0,random_brickwork,layers_16,2.0,8.0,137,False,0.19936040288885745,complex128,7.526991404183562e-07,0.0022095038890838623
width_held_out,1,random_brickwork,layers_8,1.0,12.0,137,False,0.5484610036288761,complex128,7.468451428519191e-07,0.0016902079582214356
width_held_out,1,random_brickwork,layers_16,2.0,12.0,137,False,0.11709392586517446,complex128,5.271669700280333e-07,0.0038290879726409913
width_held_out,2,random_brickwork,layers_8,1.0,16.0,137,True,0.41323664570856805,complex128,4.3774365733636454e-07,0.0022585279941558837
width_held_out,2,random_brickwork,layers_16,2.0,16.0,137,False,0.054055441693158304,complex128,7.420944371737088e-07,0.005210400104522705
width_held_out,3,random_brickwork,layers_8,1.0,20.0,137,False,0.6160718787842049,complex128,5.257737385137403e-07,0.0028286080360412596
width_held_out,3,random_brickwork,layers_16,2.0,20.0,137,False,0.1097418307676274,complex128,1.3716867959538017e-06,0.00672495985031128
width_held_out,0,qft,full,1.0,8.0,137,True,0.8359872145626264,complex64,1.7881393366003817e-07,0.00011343999952077865
