compiler,architecture,device_label,circuit,logical_width,allocated_width,depth,total_ops,one_qubit_ops,two_qubit_ops,estimated_execution_seconds
qiskit141_proxy,eagle,ibm_kyiv,hamilsim8,8,127,27,71,64,7,4.302222222222222e-06
qiskit141_proxy,eagle,ibm_kyiv,qaoa16,16,127,1131,4250,3475,775,0.0001839857777777774
qiskit141_proxy,eagle,ibm_kyiv,qaoa4,4,127,69,104,88,16,1.021155555555556e-05
qiskit141_proxy,eagle,ibm_kyiv,qaoa8,8,127,281,609,501,108,4.477866666666663e-05
qiskit141_proxy,eagle,ibm_kyiv,qft16,16,127,633,2821,2342,479,9.942044444444484e-05
qiskit141_proxy,eagle,ibm_kyiv,qft32,32,127,2591,12906,10634,2272,0.0004185386666666723
qiskit141_proxy,eagle,ibm_kyiv,qft4,4,127,68,97,81,16,1.008355555555556e-05
qiskit141_proxy,eagle,ibm_kyiv,qft64,64,127,5657,37682,30984,6698,0.0009159111111111005
qiskit141_proxy,eagle,ibm_kyiv,qft8,8,127,230,537,446,91,3.633066666666663e-05
qiskit141_proxy,eagle,ibm_kyiv,vqe16,16,127,82,230,215,15,9.90577777777778e-06
qiskit141_proxy,eagle,ibm_kyiv,vqe4,4,127,20,48,45,3,2.076444444444445e-06
qiskit141_proxy,eagle,ibm_kyiv,vqe8,8,127,40,108,101,7,4.672000000000001e-06
qiskit141_proxy,eagle,ibm_brisbane,hamilsim16,16,127,52,149,134,15,1.076e-05
qiskit141_proxy,eagle,ibm_brisbane,hamilsim32,32,127,105,305,274,31,2.204e-05
qiskit141_proxy,eagle,ibm_brisbane,hamilsim4,4,127,16,35,32,3,2.28e-06
qiskit141_proxy,eagle,ibm_brisbane,hamilsim8,8,127,27,71,64,7,5.04e-06
qiskit141_proxy,eagle,ibm_brisbane,qaoa16,16,127,1131,4250,3475,775,0.0002176999999999999
qiskit141_proxy,eagle,ibm_brisbane,qaoa4,4,127,69,104,88,16,1.228e-05
qiskit141_proxy,eagle,ibm_brisbane,qaoa8,8,127,281,609,501,108,5.214000000000002e-05
qiskit141_proxy,eagle,ibm_brisbane,qft16,16,127,633,2821,2342,479,0.0001159199999999994
qiskit141_proxy,eagle,ibm_brisbane,qft32,32,127,2591,12906,10634,2272,0.0004911000000000031
qiskit141_proxy,eagle,ibm_brisbane,qft4,4,127,68,97,81,16,1.188e-05
qiskit141_proxy,eagle,ibm_brisbane,qft64,64,127,5657,37682,30984,6698,0.001070819999999978
qiskit141_proxy,eagle,ibm_brisbane,qft8,8,127,230,537,446,91,4.277999999999998e-05
qiskit141_proxy,eagle,ibm_brisbane,vqe16,16,127,82,230,215,15,1.166e-05
qiskit141_proxy,eagle,ibm_brisbane,vqe4,4,127,20,48,45,3,2.48e-06
qiskit141_proxy,eagle,ibm_brisbane,vqe8,8,127,40,108,101,7,5.540000000000003e-06
qiskit141_proxy,heron,ibm_marrakesh,hamilsim16,16,156,20,93,78,15,1.128e-06
qiskit141_proxy,heron,ibm_marrakesh,hamilsim32,32,156,36,189,158,31,2.228000000000001e-06
qiskit141_proxy,heron,ibm_marrakesh,hamilsim4,4,156,8,21,18,3,2.88e-07
qiskit141_proxy,heron,ibm_marrakesh,hamilsim8,8,156,12,45,38,7,5.84e-07
qiskit141_proxy,heron,ibm_marrakesh,qaoa16,16,156,676,2866,2093,773,2.790400000000009e-05
qiskit141_proxy,heron,ibm_marrakesh,qaoa4,4,156,56,98,83,15,1.711999999999999e-06
qiskit141_proxy,heron,ibm_marrakesh,qaoa8,8,156,228,479,371,108,8.068000000000006e-06
qiskit141_proxy,heron,ibm_marrakesh,qft16,16,156,449,2145,1635,510,1.960799999999996e-05
qiskit141_proxy,heron,ibm_marrakesh,qft32,32,156,1171,8653,6480,2173,4.939199999999945e-05
qiskit141_proxy,heron,ibm_marrakesh,qft4,4,156,58,83,67,16,1.952e-06
qiskit141_proxy,heron,ibm_marrakesh,qft64,64,156,3945,28390,20807,7583,0.0001644919999999921
qiskit141_proxy,heron,ibm_marrakesh,qft8,8,156,190,442,350,92,7.02400000000001e-06
qiskit141_proxy,heron,ibm_marrakesh,vqe16,16,156,52,186,171,15,1.68e-06
qiskit141_proxy,heron,ibm_marrakesh,vqe4,4,156,16,42,39,3,4.2e-07
qiskit141_proxy,heron,ibm_marrakesh,vqe8,8,156,28,90,83,7,8.359999999999998e-07
qiskit141_proxy,heron,ibm_kingston,hamilsim16,16,156,20,93,78,15,1.084e-06
qiskit141_proxy,heron,ibm_kingston,hamilsim32,32,156,36,189,158,31,2.172000000000001e-06
qiskit141_proxy,heron,ibm_kingston,hamilsim4,4,156,8,21,18,3,2.68e-07
qiskit141_proxy,heron,ibm_kingston,hamilsim8,8,156,12,45,38,7,5.400000000000001e-07
qiskit141_proxy,heron,ibm_kingston,qaoa16,16,156,676,2866,2093,773,2.669199999999993e-05
qiskit141_proxy,heron,ibm_kingston,qaoa4,4,156,56,98,83,15,1.620000000000001e-06
qiskit141_proxy,heron,ibm_kingston,qaoa8,8,156,228,479,371,108,7.707999999999995e-06
qiskit141_proxy,heron,ibm_kingston,qft16,16,156,449,2145,1635,510,1.763200000000003e-05
qiskit141_proxy,heron,ibm_kingston,qft32,32,156,1171,8653,6480,2173,4.358800000000025e-05
qiskit141_proxy,heron,ibm_kingston,qft4,4,156,58,83,67,16,1.856000000000001e-06
qiskit141_proxy,heron,ibm_kingston,qft64,64,156,3945,28390,20807,7583,0.0001571759999999934
qiskit141_proxy,heron,ibm_kingston,qft8,8,156,190,442,350,92,6.711999999999994e-06
qiskit141_proxy,heron,ibm_kingston,vqe16,16,156,52,186,171,15,1.596000000000001e-06
qiskit141_proxy,heron,ibm_kingston,vqe4,4,156,16,42,39,3,3.960000000000001e-07
qiskit141_proxy,heron,ibm_kingston,vqe8,8,156,28,90,83,7,7.96e-07
qiskit141_proxy,heron,ibm_aachen,hamilsim16,16,156,20,93,78,15,1.112e-06
qiskit141_proxy,heron,ibm_aachen,hamilsim32,32,156,36,189,158,31,2.208000000000001e-06
qiskit141_proxy,heron,ibm_aachen,hamilsim4,4,156,8,21,18,3,2.68e-07
qiskit141_proxy,heron,ibm_aachen,hamilsim8,8,156,12,45,38,7,5.680000000000001e-07
qiskit141_proxy,heron,ibm_aachen,qaoa16,16,156,676,2866,2093,773,3.319999999999996e-05
qiskit141_proxy,heron,ibm_aachen,qaoa4,4,156,56,98,83,15,1.780000000000001e-06
qiskit141_proxy,heron,ibm_aachen,qaoa8,8,156,228,479,371,108,1.097200000000001e-05
qiskit141_proxy,heron,ibm_aachen,qft16,16,156,449,2145,1635,510,1.875200000000001e-05
qiskit141_proxy,heron,ibm_aachen,qft32,32,156,1171,8653,6480,2173,4.563200000000035e-05
qiskit141_proxy,heron,ibm_aachen,qft4,4,156,58,83,67,16,1.856000000000001e-06
qiskit141_proxy,heron,ibm_aachen,qft64,64,156,3945,28390,20807,7583,0.0001766359999999912
qiskit141_proxy,heron,ibm_aachen,qft8,8,156,190,442,350,92,9.576000000000008e-06
qiskit141_proxy,heron,ibm_aachen,vqe16,16,156,52,186,171,15,1.692000000000001e-06
qiskit141_proxy,heron,ibm_aachen,vqe4,4,156,16,42,39,3,4.520000000000001e-07
qiskit141_proxy,heron,ibm_aachen,vqe8,8,156,28,90,83,7,8.52e-07
tket_proxy,heron,ibm_marrakesh,hamilsim16,16,156,110,198,183,15,2.172e-06
tket_proxy,heron,ibm_marrakesh,hamilsim32,32,156,222,406,375,31,4.412000000000005e-06
tket_proxy,heron,ibm_marrakesh,hamilsim4,4,156,26,42,39,3,4.92e-07
tket_proxy,heron,ibm_marrakesh,hamilsim8,8,156,54,94,87,7,1.052e-06
tket_proxy,heron,ibm_marrakesh,qaoa16,16,156,2662,8896,7717,1179,6.363199999999922e-05
tket_proxy,heron,ibm_marrakesh,qaoa4,4,156,113,154,138,16,2.348000000000001e-06
tket_proxy,heron,ibm_marrakesh,qaoa8,8,156,491,1087,954,133,1.145599999999998e-05
tket_proxy,heron,ibm_marrakesh,qft16,16,156,1755,6346,5580,766,4.077599999999985e-05
tket_proxy,heron,ibm_marrakesh,qft32,32,156,4580,24263,21462,2801,0.0001084759999999978
tket_proxy,heron,ibm_marrakesh,qft4,4,156,97,155,137,18,2.16e-06
tket_proxy,heron,ibm_marrakesh,qft64,64,156,9630,72086,63671,8415,0.0002289759999999826
tket_proxy,heron,ibm_marrakesh,qft8,8,156,453,1119,990,129,1.041999999999999e-05
